chapter,requester,requestee,type,rank
# --- Boston ---
# Inventors: Fariha, Aiswarya, Oliver, Denyse, Caroline, Nicolas, Philipp, Ana
# Contributors: Grace, Hugo, Lucia, Noah, Julia, Dante
Boston,Fariha,Julia,inventor,1
Boston,Fariha,Noah,inventor,2
Boston,Fariha,Grace,inventor,3
Boston,Fariha,Dante,inventor,4
Boston,Fariha,Lucia,inventor,5
Boston,Aiswarya,Hugo,inventor,1
Boston,Aiswarya,Lucia,inventor,2
Boston,Aiswarya,Grace,inventor,3
Boston,Oliver,Lucia,inventor,1
Boston,Oliver,Grace,inventor,2
Boston,Oliver,Hugo,inventor,3
Boston,Denyse,Noah,inventor,1
Boston,Denyse,Lucia,inventor,2
Boston,Denyse,Grace,inventor,3
Boston,Caroline,Grace,inventor,1
Boston,Caroline,Hugo,inventor,2
Boston,Caroline,Dante,inventor,3
Boston,Caroline,Lucia,inventor,4
Boston,Nicolas,Grace,inventor,1
Boston,Nicolas,Noah,inventor,2
Boston,Nicolas,Julia,inventor,3
Boston,Nicolas,Lucia,inventor,4
Boston,Philipp,Lucia,inventor,1
Boston,Philipp,Noah,inventor,2
Boston,Philipp,Julia,inventor,3
Boston,Ana,Grace,inventor,1
Boston,Ana,Julia,inventor,2
Boston,Ana,Noah,inventor,3

Boston,Grace,Caroline,contributor,1
Boston,Grace,Fariha,contributor,2
Boston,Grace,Philipp,contributor,3
Boston,Grace,Oliver,contributor,4
Boston,Dante,Caroline,contributor,1
Boston,Dante,Fariha,contributor,2
Boston,Dante,Nicolas,contributor,3
Boston,Dante,Aiswarya,contributor,4
Boston,Dante,Oliver,contributor,5
Boston,Hugo,Oliver,contributor,1
Boston,Hugo,Aiswarya,contributor,2
Boston,Hugo,Caroline,contributor,3
Boston,Lucia,Philipp,contributor,1
Boston,Lucia,Fariha,contributor,2
Boston,Lucia,Denyse,contributor,3
Boston,Noah,Fariha,contributor,1
Boston,Noah,Nicolas,contributor,2
Boston,Noah,Caroline,contributor,3
Boston,Noah,Oliver,contributor,4
Boston,Julia,Aiswarya,contributor,1
Boston,Julia,Ana,contributor,2
Boston,Julia,Philipp,contributor,3
Boston,Julia,Oliver,contributor,4
Boston,Dante,Nicolas,contributor,1
Boston,Dante,Oliver,contributor,2
Boston,Dante,Ana,contributor,3

# --- Denmark ---
# Inventors: Oliver, Aiswarya
# Contributors: Lorenzo, Elena, Nora, Freja, Jakob, Ida
Denmark,Oliver,Ida,inventor,1
Denmark,Oliver,Elena,inventor,2
Denmark,Oliver,Nora,inventor,3
Denmark,Aiswarya,Elena,inventor,1
Denmark,Aiswarya,Nora,inventor,2
Denmark,Aiswarya,Lorenzo,inventor,3
Denmark,Aiswarya,Freja,inventor,4

Denmark,Lorenzo,Oliver,contributor,1
Denmark,Elena,Oliver,contributor,1
Denmark,Nora,Aiswarya,contributor,1
Denmark,Freja,Aiswarya,contributor,1
Denmark,Freja,Oliver,contributor,2
Denmark,Jakob,Oliver,contributor,1
Denmark,Jakob,Aiswarya,contributor,2
Denmark,Ida,Oliver,contributor,1

# --- Texas ---
# Inventors: Caroline, Desika, Ana
# Contributors: Karthik, Lucia, Mireille, Elena, Freya
Texas,Caroline,Karthik,inventor,1
Texas,Caroline,Lucia,inventor,2
Texas,Caroline,Mireille,inventor,3
Texas,Desika,Mireille,inventor,1
Texas,Desika,Lucia,inventor,2
Texas,Desika,Karthik,inventor,3
Texas,Ana,Lucia,inventor,1
Texas,Ana,Karthik,inventor,2
Texas,Ana,Mireille,inventor,3

Texas,Karthik,Caroline,contributor,1
Texas,Karthik,Desika,contributor,2
Texas,Karthik,Ana,contributor,3
Texas,Lucia,Desika,contributor,1
Texas,Lucia,Caroline,contributor,2
Texas,Lucia,Ana,contributor,3
Texas,Mireille,Caroline,contributor,1
Texas,Mireille,Desika,contributor,2
Texas,Mireille,Ana,contributor,3
Texas,Elena,Desika,contributor,1
Texas,Elena,Caroline,contributor,2
Texas,Elena,Ana,contributor,3
Texas,Freya,Desika,contributor,1
Texas,Freya,Caroline,contributor,2
Texas,Freya,Ana,contributor,3
